index,pobreza_binaria,pobreza,ingresos,edad
164,1,3,10000,30
165,1,3,10000,31
166,1,3,10000,32
167,1,3,10000,34
168,0,1,10000,34
169,1,3,10000,30
170,1,3,10000,34
171,1,3,10000,25
172,1,3,10000,27
173,0,2,10000,26
174,0,2,10000,25
175,0,2,10000,26
176,1,3,10000,27
177,0,2,10000,28
178,1,3,10000,28
179,1,3,10000,22
180,1,3,10000,22
181,1,3,10000,24
182,0,2,10000,23
183,1,3,10000,24
184,0,2,10000,23
185,1,3,9960,63
186,1,3,9872,53
187,1,3,9760,49
188,1,3,9760,46
189,1,3,9760,47
190,1,3,9600,55
191,1,3,9600,54
192,1,3,9600,48
193,1,3,9600,46
194,1,3,9600,32
195,1,3,9500,37
196,1,3,9500,36
197,1,3,9500,30
198,1,3,9476,39
199,0,2,9400,59
200,0,2,9400,54
201,1,3,9400,47
202,1,3,9375,54
203,1,3,9300,51
204,1,3,9200,57
205,1,3,9200,51
206,1,3,9200,51
207,1,3,9200,24
208,1,3,9000,75
209,1,3,9000,58
210,1,3,9000,56
211,1,3,9000,57
212,1,3,9000,57
213,1,3,9000,54
214,1,3,9000,51
215,1,3,9000,51
216,1,3,9000,50
217,1,3,9000,45
218,1,3,9000,47
219,1,3,9000,43
220,0,2,9000,43
221,1,3,9000,44
222,1,3,9000,42
223,1,3,9000,40
224,1,3,9000,44
225,1,3,9000,40
226,1,3,9000,42
227,1,3,9000,40
228,1,3,9000,38
229,1,3,9000,38
230,1,3,9000,31
231,1,3,9000,29
232,1,3,8900,57
233,1,3,8900,46
234,1,3,8676,40
235,1,3,8620,39
236,1,3,8600,52
237,1,3,8560,54
238,1,3,8557,47
239,1,3,8500,57
240,1,3,8500,46
241,1,3,8500,49
242,1,3,8500,40
243,1,3,8500,44
244,1,3,8500,39
245,1,3,8500,30
246,1,3,8400,64
247,0,2,8400,53
248,1,3,8400,44
249,1,3,8400,41
250,1,3,8400,36
251,1,3,8385,53
252,0,2,8380,42
253,1,3,8334,50
254,1,3,8300,51
255,1,3,8300,43
256,1,3,8291,34
257,1,3,8281,41
258,1,3,8251,35
259,1,3,8250,34
260,1,3,8227,47
261,1,3,8200,51
262,1,3,8200,45
263,1,3,8200,35
264,1,3,8200,37
265,1,3,8200,36
266,1,3,8100,53
267,1,3,8036,49
268,1,3,8000,66
269,1,3,8000,66
270,1,3,8000,62
271,1,3,8000,63
272,1,3,8000,62
273,1,3,8000,61
274,1,3,8000,63
275,1,3,8000,63
276,1,3,8000,55
277,1,3,8000,59
278,0,2,8000,55
279,1,3,8000,57
280,1,3,8000,57
281,1,3,8000,52
282,1,3,8000,50
283,1,3,8000,53
284,1,3,8000,52
285,1,3,8000,53
286,1,3,8000,51
287,1,3,8000,52
288,0,2,8000,50
289,1,3,8000,52
290,1,3,8000,48
291,1,3,8000,45
292,1,3,8000,45
293,0,2,8000,49
294,0,1,8000,49
295,1,3,8000,48
296,1,3,8000,47
297,1,3,8000,48
298,1,3,8000,45
299,1,3,8000,47
300,1,3,8000,48
301,1,3,8000,47
302,1,3,8000,44
303,0,2,8000,40
304,1,3,8000,43
305,1,3,8000,44
306,1,3,8000,40
307,1,3,8000,40
308,1,3,8000,43
309,1,3,8000,43
310,1,3,8000,41
311,1,3,8000,40
312,1,3,8000,43
313,1,3,8000,44
314,1,3,8000,42
315,1,3,8000,43
316,1,3,8000,44
317,0,2,8000,44
318,1,3,8000,36
319,0,2,8000,35
320,1,3,8000,38
321,0,2,8000,37
322,1,3,8000,35
323,1,3,8000,39
324,0,1,8000,36
325,1,3,8000,31
326,1,3,8000,30
327,1,3,8000,31
328,1,3,8000,30
329,1,3,8000,34
330,1,3,8000,34
331,0,2,8000,33
332,1,3,8000,34
333,1,3,8000,34
334,1,3,8000,30
335,1,3,8000,34
336,1,3,8000,33
337,1,3,8000,34
338,1,3,8000,32
339,1,3,8000,25
340,1,3,8000,25
341,0,2,8000,27
342,1,3,8000,28
343,1,3,8000,29
344,1,3,8000,27
345,1,3,8000,26
346,1,3,8000,29
347,1,3,8000,28
348,1,3,8000,22
349,1,3,8000,22
350,1,3,8000,18
351,1,3,7800,62
352,1,3,7750,57
353,1,3,7730,31
354,1,3,7700,62
355,1,3,7600,49
356,1,3,7600,42
357,1,3,7600,38
358,0,2,7550,61
359,1,3,7514,54
360,0,2,7500,58
361,1,3,7500,56
362,1,3,7500,55
363,1,3,7500,50
364,1,3,7500,50
365,1,3,7500,46
366,1,3,7500,49
367,1,3,7500,42
368,1,3,7500,44
369,1,3,7500,41
370,1,3,7500,42
371,1,3,7500,36
372,1,3,7500,39
373,1,3,7500,38
374,0,1,7500,37
375,1,3,7500,36
376,0,2,7500,35
377,0,2,7500,36
378,1,3,7500,38
379,1,3,7500,36
380,1,3,7500,36
381,0,2,7500,29
382,0,2,7400,43
383,1,3,7400,40
384,1,3,7400,42
385,0,2,7400,39
386,1,3,7400,37
387,1,3,7350,57
388,1,3,7300,51
389,1,3,7300,33
390,0,2,7300,29
391,1,3,7250,40
392,1,3,7250,43
393,1,3,7211,41
394,1,3,7200,77
395,0,2,7200,64
396,1,3,7200,56
397,1,3,7200,33
398,1,3,7200,29
399,1,3,7200,23
400,0,2,7100,31
401,1,3,7000,73
402,1,3,7000,73
403,1,3,7000,68
404,1,3,7000,68
405,1,3,7000,67
406,1,3,7000,62
407,1,3,7000,51
408,1,3,7000,54
409,1,3,7000,50
410,0,2,7000,50
411,1,3,7000,53
412,1,3,7000,50
413,1,3,7000,54
414,1,3,7000,53
415,1,3,7000,52
416,0,2,7000,52
417,1,3,7000,48
418,1,3,7000,46
419,0,2,7000,48
420,1,3,7000,48
421,1,3,7000,45
422,1,3,7000,48
423,0,1,7000,45
424,1,3,7000,49
425,1,3,7000,49
426,1,3,7000,48
427,1,3,7000,44
428,1,3,7000,41
429,1,3,7000,40
430,1,3,7000,41
431,1,3,7000,41
432,1,3,7000,44
433,1,3,7000,42
434,1,3,7000,40
435,1,3,7000,42
436,1,3,7000,40
437,1,3,7000,43
438,1,3,7000,43
439,1,3,7000,40
440,1,3,7000,43
441,1,3,7000,40
442,1,3,7000,41
443,1,3,7000,44
444,1,3,7000,40
445,1,3,7000,37
446,1,3,7000,36
447,1,3,7000,38
448,1,3,7000,36
449,1,3,7000,37
450,1,3,7000,37
451,1,3,7000,38
452,1,3,7000,37
453,1,3,7000,35
454,1,3,7000,35
455,1,3,7000,37
456,1,3,7000,36
457,1,3,7000,37
458,1,3,7000,35
459,1,3,7000,38
460,1,3,7000,38
461,1,3,7000,36
462,1,3,7000,36
463,1,3,7000,39
464,0,2,7000,35
465,1,3,7000,32
466,1,3,7000,30
467,1,3,7000,33
468,1,3,7000,34
469,1,3,7000,32
470,1,3,7000,34
471,1,3,7000,34
472,1,3,7000,34
473,1,3,7000,33
474,1,3,7000,31
475,1,3,7000,30
476,1,3,7000,27
477,0,2,7000,28
478,1,3,7000,28
479,1,3,7000,26
480,1,3,7000,29
481,1,3,7000,25
482,1,3,7000,27
483,1,3,7000,29
484,1,3,7000,20
485,0,2,7000,20
486,1,3,7000,21
487,1,3,7000,21
488,1,3,7000,23
489,1,3,7000,19
490,1,3,6991,32
491,1,3,6919,35
492,1,3,6825,47
493,1,3,6800,48
494,0,2,6800,36
495,1,3,6800,38
496,1,3,6800,35
497,1,3,6800,37
498,0,2,6800,18
499,1,3,6700,42
500,1,3,6700,44
501,1,3,6700,38
502,0,2,6600,46
503,0,2,6600,40
504,0,2,6600,31
505,1,3,6580,48
506,1,3,6500,65
507,1,3,6500,57
508,1,3,6500,57
509,0,2,6500,52
510,1,3,6500,51
511,1,3,6500,47
512,1,3,6500,45
513,1,3,6500,48
514,1,3,6500,47
515,0,2,6500,44
516,0,2,6500,41
517,1,3,6500,40
518,1,3,6500,35
519,1,3,6500,36
520,1,3,6500,36
521,1,3,6500,35
522,0,2,6500,37
523,1,3,6500,34
524,1,3,6500,32
525,0,2,6500,32
526,1,3,6500,27
527,0,2,6500,29
528,1,3,6500,29
529,1,3,6450,32
530,1,3,6418,63
531,1,3,6417,39
532,0,2,6400,50
533,1,3,6400,45
534,1,3,6400,42
535,1,3,6400,44
536,0,2,6400,17
537,1,3,6380,35
538,1,3,6375,25
539,1,3,6300,53
540,1,3,6300,32
541,1,3,6250,40
542,0,1,6216,28
543,1,3,6200,55
544,1,3,6200,52
545,1,3,6200,41
546,1,3,6200,34
547,0,2,6200,33
548,1,3,6146,39
549,1,3,6129,40
550,1,3,6120,48
551,1,3,6120,43
552,1,3,6100,38
553,1,3,6095,59
554,1,3,6000,88
555,1,3,6000,68
556,1,3,6000,65
557,1,3,6000,60
558,0,2,6000,63
559,1,3,6000,60
560,1,3,6000,58
561,0,2,6000,56
562,1,3,6000,58
563,1,3,6000,56
564,0,2,6000,55
565,1,3,6000,56
566,1,3,6000,55
567,1,3,6000,59
568,1,3,6000,53
569,1,3,6000,54
570,1,3,6000,53
571,1,3,6000,51
572,1,3,6000,52
573,1,3,6000,51
574,0,2,6000,50
575,1,3,6000,52
576,1,3,6000,53
577,1,3,6000,54
578,1,3,6000,52
579,1,3,6000,52
580,1,3,6000,50
581,1,3,6000,50
582,1,3,6000,45
583,0,2,6000,48
584,1,3,6000,45
585,1,3,6000,48
586,1,3,6000,47
587,0,2,6000,47
588,1,3,6000,47
589,0,2,6000,48
590,1,3,6000,49
591,1,3,6000,47
592,1,3,6000,47
593,0,2,6000,47
594,1,3,6000,45
595,1,3,6000,44
596,1,3,6000,44
597,1,3,6000,42
598,1,3,6000,40
599,1,3,6000,42
600,1,3,6000,44
601,1,3,6000,41
602,1,3,6000,44
603,1,3,6000,44
604,1,3,6000,41
605,1,3,6000,40
606,1,3,6000,40
607,1,3,6000,44
608,1,3,6000,42
609,0,2,6000,44
610,1,3,6000,41
611,1,3,6000,42
612,0,2,6000,42
613,1,3,6000,40
614,1,3,6000,42
615,0,2,6000,40
616,1,3,6000,42
617,1,3,6000,40
618,1,3,6000,40
619,1,3,6000,40
620,1,3,6000,43
621,1,3,6000,41
622,1,3,6000,44
623,1,3,6000,44
624,1,3,6000,44
625,1,3,6000,35
626,1,3,6000,37
627,1,3,6000,35
628,0,2,6000,36
629,1,3,6000,38
630,1,3,6000,38
631,1,3,6000,37
632,1,3,6000,36
633,1,3,6000,38
634,1,3,6000,35
635,1,3,6000,36
636,1,3,6000,38
637,1,3,6000,39
638,1,3,6000,39
639,1,3,6000,36
640,0,2,6000,37
641,1,3,6000,37
642,1,3,6000,36
643,1,3,6000,38
644,1,3,6000,32
645,1,3,6000,30
646,1,3,6000,34
647,1,3,6000,30
648,1,3,6000,33
649,1,3,6000,31
650,1,3,6000,33
651,0,2,6000,30
652,0,2,6000,33
653,1,3,6000,30
654,1,3,6000,33
655,0,2,6000,30
656,1,3,6000,33
657,0,2,6000,34
658,1,3,6000,34
659,1,3,6000,33
660,0,2,6000,30
661,1,3,6000,32
662,0,1,6000,33
663,1,3,6000,33
664,1,3,6000,33
665,1,3,6000,33
666,1,3,6000,31
667,1,3,6000,32
668,1,3,6000,33
669,1,3,6000,26
670,1,3,6000,26
671,1,3,6000,29
672,1,3,6000,26
673,0,2,6000,26
674,0,2,6000,27
675,1,3,6000,25
676,0,2,6000,27
677,0,2,6000,28
678,1,3,6000,25
679,0,2,6000,27
680,1,3,6000,28
681,1,3,6000,26
682,1,3,6000,28
683,1,3,6000,24
684,1,3,6000,23
685,0,2,6000,23
686,1,3,6000,23
687,1,3,6000,22
688,0,2,6000,24
689,1,3,6000,23
690,1,3,6000,21
691,1,3,6000,23
692,1,3,6000,22
693,1,3,6000,20
694,1,3,6000,19
695,1,3,6000,16
696,1,3,6000,19
697,0,2,5970,35
698,1,3,5943,34
699,1,3,5900,59
700,1,3,5900,41
701,1,3,5900,39
702,1,3,5800,41
703,1,3,5800,40
704,0,2,5800,35
705,1,3,5800,35
706,1,3,5800,37
707,0,2,5800,34
708,0,2,5800,32
709,0,2,5800,29
710,1,3,5800,28
711,1,3,5800,23
712,0,2,5800,22
713,1,3,5800,20
714,1,3,5718,62
715,1,3,5700,45
716,0,2,5700,47
717,1,3,5700,36
718,1,3,5700,31
719,1,3,5659,57
720,1,3,5620,44
721,1,3,5600,44
722,0,2,5600,41
723,1,3,5600,36
724,1,3,5600,28
725,0,2,5600,27
726,1,3,5600,24
727,1,3,5600,21
728,1,3,5577,40
729,1,3,5500,60
730,1,3,5500,63
731,1,3,5500,59
732,1,3,5500,53
733,0,2,5500,54
734,1,3,5500,50
735,1,3,5500,47
736,1,3,5500,42
737,1,3,5500,43
738,1,3,5500,42
739,1,3,5500,42
740,0,2,5500,42
741,1,3,5500,38
742,1,3,5500,37
743,1,3,5500,37
744,1,3,5500,37
745,1,3,5500,30
746,1,3,5500,34
747,1,3,5500,30
748,1,3,5500,32
749,1,3,5500,32
750,0,2,5500,34
751,1,3,5500,32
752,1,3,5500,33
753,0,2,5500,30
754,1,3,5500,28
755,1,3,5500,28
756,1,3,5500,29
757,0,2,5500,24
758,0,1,5475,27
759,1,3,5420,40
760,1,3,5400,51
761,1,3,5400,43
762,0,2,5400,35
763,1,3,5400,36
764,1,3,5400,31
765,0,2,5400,26
766,1,3,5375,59
767,1,3,5330,40
768,0,1,5309,45
769,1,3,5300,53
770,0,2,5300,47
771,1,3,5300,43
772,1,3,5300,40
773,1,3,5300,42
774,1,3,5300,37
775,0,2,5300,35
776,1,3,5300,35
777,1,3,5300,29
778,1,3,5300,26
779,0,2,5300,23
780,1,3,5265,70
781,1,3,5260,56
782,1,3,5250,25
783,1,3,5250,23
784,1,3,5200,60
785,1,3,5200,50
786,1,3,5200,49
787,1,3,5200,45
788,1,3,5200,37
789,1,3,5200,33
790,1,3,5200,29
791,1,3,5200,28
792,1,3,5200,28
793,1,3,5150,46
794,1,3,5130,20
795,1,3,5100,50
796,1,3,5100,39
797,0,2,5080,37
798,1,3,5000,72
799,1,3,5000,71
800,1,3,5000,71
801,1,3,5000,67
802,1,3,5000,69
803,1,3,5000,66
804,1,3,5000,65
805,1,3,5000,65
806,1,3,5000,65
807,1,3,5000,65
808,0,2,5000,62
809,1,3,5000,60
810,1,3,5000,60
811,1,3,5000,60
812,1,3,5000,62
813,1,3,5000,62
814,0,2,5000,64
815,0,2,5000,59
816,1,3,5000,55
817,1,3,5000,57
818,1,3,5000,59
819,1,3,5000,58
820,0,2,5000,56
821,1,3,5000,55
822,1,3,5000,55
823,1,3,5000,56
824,1,3,5000,56
825,0,2,5000,57
826,1,3,5000,55
827,0,2,5000,57
828,0,2,5000,57
829,1,3,5000,58
830,1,3,5000,58
831,1,3,5000,55
832,1,3,5000,56
833,1,3,5000,57
834,1,3,5000,57
835,1,3,5000,50
836,1,3,5000,52
837,1,3,5000,50
838,1,3,5000,50
839,1,3,5000,51
840,1,3,5000,51
841,1,3,5000,53
842,1,3,5000,52
843,1,3,5000,51
844,1,3,5000,53
845,1,3,5000,51
846,1,3,5000,53
847,1,3,5000,52
848,1,3,5000,54
849,1,3,5000,50
850,1,3,5000,54
851,0,2,5000,51
852,1,3,5000,53
853,1,3,5000,50
854,1,3,5000,52
855,1,3,5000,52
856,0,1,5000,51
857,1,3,5000,46
858,1,3,5000,48
859,1,3,5000,49
860,1,3,5000,45
861,1,3,5000,47
862,0,2,5000,48
863,1,3,5000,46
864,1,3,5000,47
865,1,3,5000,45
866,1,3,5000,47
867,0,2,5000,45
868,1,3,5000,45
869,1,3,5000,45
870,1,3,5000,46
871,1,3,5000,46
872,1,3,5000,46
873,1,3,5000,47
874,1,3,5000,46
875,1,3,5000,49
876,1,3,5000,48
877,1,3,5000,48
878,1,3,5000,46
879,1,3,5000,42
880,1,3,5000,40
881,1,3,5000,40
882,1,3,5000,43
883,1,3,5000,42
884,1,3,5000,42
885,0,2,5000,41
886,1,3,5000,43
887,0,2,5000,41
888,0,2,5000,42
889,1,3,5000,40
890,0,2,5000,40
891,0,2,5000,40
892,1,3,5000,43
893,0,2,5000,41
894,0,1,5000,44
895,1,3,5000,43
896,1,3,5000,41
897,1,3,5000,40
898,1,3,5000,40
899,1,3,5000,43
900,1,3,5000,40
901,1,3,5000,41
902,1,3,5000,42
903,1,3,5000,41
904,0,2,5000,42
905,1,3,5000,41
906,1,3,5000,44
907,1,3,5000,40
908,1,3,5000,43
909,1,3,5000,41
910,1,3,5000,41
911,0,2,5000,41
912,0,2,5000,43
913,1,3,5000,40
914,1,3,5000,42
915,1,3,5000,41
916,1,3,5000,44
917,1,3,5000,44
918,1,3,5000,44
919,1,3,5000,40
920,1,3,5000,43
921,1,3,5000,42
922,1,3,5000,40
923,0,2,5000,43
924,1,3,5000,40
925,1,3,5000,41
926,1,3,5000,44
927,0,2,5000,44
928,0,2,5000,42
929,0,1,5000,43
930,1,3,5000,36
931,1,3,5000,38
932,1,3,5000,36
933,1,3,5000,36
934,1,3,5000,38
935,0,2,5000,37
936,0,2,5000,36
937,1,3,5000,37
938,0,2,5000,36
939,1,3,5000,37
940,1,3,5000,38
941,1,3,5000,35
942,1,3,5000,39
943,1,3,5000,37
944,0,2,5000,35
945,1,3,5000,35
946,1,3,5000,37
947,1,3,5000,35
948,1,3,5000,37
949,1,3,5000,38
950,1,3,5000,35
951,0,2,5000,37
952,0,2,5000,37
953,1,3,5000,39
954,1,3,5000,36
955,1,3,5000,35
956,0,2,5000,39
957,1,3,5000,38
958,1,3,5000,35
959,1,3,5000,39
960,1,3,5000,37
961,1,3,5000,37
962,0,2,5000,39
963,0,2,5000,37
964,1,3,5000,30
965,1,3,5000,32
966,0,2,5000,30
967,1,3,5000,31
968,1,3,5000,32
969,1,3,5000,33
970,1,3,5000,33
971,1,3,5000,31
972,1,3,5000,33
973,1,3,5000,31
974,1,3,5000,30
975,1,3,5000,33
976,1,3,5000,30
977,1,3,5000,30
978,1,3,5000,33
979,0,2,5000,30
980,0,2,5000,32
981,1,3,5000,34
982,1,3,5000,32
983,1,3,5000,30
984,0,1,5000,30
985,0,1,5000,33
986,1,3,5000,33
987,1,3,5000,31
988,1,3,5000,34
989,1,3,5000,34
990,0,2,5000,30
991,1,3,5000,25
992,1,3,5000,26
993,1,3,5000,29
994,1,3,5000,28
995,1,3,5000,28
996,1,3,5000,29
997,0,2,5000,28
998,1,3,5000,26
999,1,3,5000,25
1000,1,3,5000,27
1001,1,3,5000,27
1002,1,3,5000,27
1003,1,3,5000,26
1004,1,3,5000,25
1005,1,3,5000,27
1006,1,3,5000,26
1007,1,3,5000,27
1008,1,3,5000,29
1009,0,2,5000,29
1010,1,3,5000,26
1011,1,3,5000,28
1012,1,3,5000,28
1013,1,3,5000,29
1014,1,3,5000,25
1015,1,3,5000,28
1016,1,3,5000,28
1017,1,3,5000,28
1018,1,3,5000,27
1019,1,3,5000,29
1020,1,3,5000,29
1021,1,3,5000,27
1022,1,3,5000,27
1023,1,3,5000,26
1024,1,3,5000,26
1025,0,2,5000,29
1026,1,3,5000,26
1027,1,3,5000,28
1028,1,3,5000,26
1029,1,3,5000,25
1030,1,3,5000,28
1031,1,3,5000,28
1032,1,3,5000,25
1033,1,3,5000,29
1034,1,3,5000,26
1035,1,3,5000,28
1036,1,3,5000,27
1037,1,3,5000,28
1038,1,3,5000,26
1039,1,3,5000,25
1040,1,3,5000,25
1041,0,2,5000,21
1042,1,3,5000,23
1043,1,3,5000,22
1044,1,3,5000,24
1045,0,1,5000,21
1046,1,3,5000,23
1047,1,3,5000,23
1048,1,3,5000,23
1049,0,2,5000,24
1050,1,3,5000,23
1051,1,3,5000,24
1052,1,3,5000,22
1053,1,3,5000,21
1054,0,1,5000,21
1055,1,3,5000,21
1056,1,3,5000,21
1057,1,3,5000,20
1058,1,3,5000,24
1059,1,3,5000,20
1060,1,3,5000,23
1061,1,3,5000,23
1062,1,3,5000,19
1063,1,3,5000,17
1064,1,3,5000,19
1065,1,3,5000,19
1066,1,3,5000,18
1067,0,2,4900,51
1068,0,2,4900,33
1069,1,3,4800,55
1070,0,2,4800,51
1071,1,3,4800,53
1072,1,3,4800,45
1073,1,3,4800,49
1074,1,3,4800,46
1075,1,3,4800,46
1076,1,3,4800,48
1077,1,3,4800,48
1078,1,3,4800,44
1079,1,3,4800,42
1080,1,3,4800,37
1081,0,2,4800,38
1082,1,3,4800,37
1083,0,2,4800,37
1084,0,2,4800,39
1085,1,3,4800,38
1086,0,2,4800,34
1087,1,3,4800,33
1088,0,2,4800,30
1089,1,3,4800,32
1090,0,2,4800,30
1091,1,3,4800,32
1092,1,3,4800,31
1093,1,3,4800,28
1094,1,3,4800,27
1095,0,2,4800,20
1096,1,3,4800,22
1097,1,3,4800,23
1098,0,2,4800,23
1099,0,2,4800,18
1100,1,3,4700,42
1101,1,3,4700,40
1102,1,3,4700,40
1103,1,3,4700,36
1104,1,3,4700,34
1105,1,3,4700,26
1106,1,3,4700,16
1107,0,2,4650,26
1108,1,3,4640,34
1109,1,3,4600,51
1110,1,3,4600,51
1111,0,2,4600,47
1112,1,3,4600,36
1113,1,3,4600,35
1114,0,2,4600,36
1115,0,2,4600,23
1116,1,3,4500,72
1117,1,3,4500,63
1118,1,3,4500,60
1119,1,3,4500,63
1120,1,3,4500,62
1121,1,3,4500,61
1122,1,3,4500,62
1123,1,3,4500,61
1124,1,3,4500,59
1125,1,3,4500,50
1126,1,3,4500,52
1127,1,3,4500,52
1128,1,3,4500,54
1129,1,3,4500,50
1130,1,3,4500,52
1131,0,2,4500,50
1132,1,3,4500,49
1133,1,3,4500,45
1134,1,3,4500,49
1135,1,3,4500,46
1136,1,3,4500,47
1137,1,3,4500,48
1138,0,2,4500,45
1139,1,3,4500,46
1140,1,3,4500,45
1141,1,3,4500,40
1142,1,3,4500,40
1143,0,2,4500,43
1144,0,1,4500,44
1145,1,3,4500,40
1146,1,3,4500,44
1147,1,3,4500,44
1148,1,3,4500,40
1149,1,3,4500,40
1150,1,3,4500,42
1151,1,3,4500,36
1152,0,2,4500,39
1153,1,3,4500,38
1154,0,2,4500,36
1155,0,2,4500,37
1156,1,3,4500,35
1157,1,3,4500,37
1158,1,3,4500,39
1159,1,3,4500,36
1160,1,3,4500,36
1161,1,3,4500,35
1162,1,3,4500,36
1163,1,3,4500,35
1164,1,3,4500,33
1165,1,3,4500,33
1166,1,3,4500,30
1167,0,1,4500,30
1168,1,3,4500,33
1169,1,3,4500,34
1170,1,3,4500,30
1171,0,2,4500,31
1172,1,3,4500,31
1173,1,3,4500,34
1174,1,3,4500,32
1175,0,2,4500,34
1176,1,3,4500,34
1177,1,3,4500,30
1178,1,3,4500,33
1179,1,3,4500,34
1180,1,3,4500,32
1181,1,3,4500,30
1182,1,3,4500,34
1183,0,2,4500,31
1184,1,3,4500,33
1185,1,3,4500,27
1186,1,3,4500,26
1187,1,3,4500,29
1188,1,3,4500,25
1189,1,3,4500,27
1190,0,2,4500,28
1191,1,3,4500,28
1192,0,2,4500,29
1193,1,3,4500,26
1194,1,3,4500,28
1195,1,3,4500,27
1196,0,2,4500,25
1197,1,3,4500,27
1198,1,3,4500,24
1199,1,3,4500,24
1200,1,3,4500,24
1201,1,3,4500,22
1202,1,3,4500,23
1203,1,3,4500,23
1204,1,3,4500,21
1205,1,3,4500,22
1206,1,3,4500,20
1207,1,3,4500,19
1208,1,3,4450,45
1209,1,3,4400,64
1210,1,3,4400,51
1211,1,3,4400,45
1212,1,3,4400,39
1213,1,3,4400,27
1214,0,2,4400,26
1215,0,2,4400,23
1216,1,3,4330,42
1217,1,3,4300,70
1218,1,3,4300,56
1219,1,3,4300,46
1220,1,3,4300,37
1221,0,2,4300,35
1222,1,3,4300,30
1223,1,3,4300,26
1224,0,2,4300,26
1225,1,3,4300,20
1226,0,2,4300,24
1227,0,2,4280,35
1228,1,3,4280,24
1229,0,2,4266,57
1230,1,3,4250,73
1231,1,3,4250,25
1232,0,2,4250,28
1233,1,3,4230,53
1234,1,3,4200,62
1235,1,3,4200,62
1236,0,2,4200,60
1237,1,3,4200,56
1238,1,3,4200,52
1239,1,3,4200,48
1240,1,3,4200,49
1241,1,3,4200,40
1242,0,2,4200,39
1243,0,1,4200,36
1244,1,3,4200,36
1245,0,2,4200,30
